Name,Platform,Year,Genre,Publisher
Imagine: Makeup Artist,DS,2020,Simulation,Ubisoft
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega
Phantasy Star Online 2 Episode 4: Deluxe Package,PSV,2017,Role-Playing,Sega
Brothers Conflict: Precious Baby,PSV,2017,Action,Idea Factory
FIFA 17,PS4,2016,Sports,Electronic Arts
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
Far Cry: Primal,PS4,2016,Action,Ubisoft
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft
Overwatch,PS4,2016,Shooter,Activision
No Man's Sky,PS4,2016,Action,Hello Games
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games
FIFA 17,XOne,2016,Sports,Electronic Arts
Doom (2016),PS4,2016,Shooter,Bethesda Softworks
Yokai Watch 3,3DS,2016,Action,Level 5
Madden NFL 17,PS4,2016,Sports,Electronic Arts
NBA 2K17,PS4,2016,Sports,Take-Two Interactive
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts
Far Cry: Primal,XOne,2016,Action,Ubisoft
Overwatch,XOne,2016,Shooter,Activision
Kirby: Planet Robobot,3DS,2016,Action,Nintendo
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment
Madden NFL 17,XOne,2016,Sports,Electronic Arts
Street Fighter V,PS4,2016,Fighting,Capcom
Doom (2016),XOne,2016,Shooter,Bethesda Softworks
NBA 2K17,XOne,2016,Sports,Take-Two Interactive
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix
Yokai Sangokushi,3DS,2016,Action,Level 5
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment
Quantum Break,XOne,2016,Action,Microsoft Game Studios
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts
Overwatch,PC,2016,Shooter,Activision
Minecraft,WiiU,2016,Misc,Microsoft Game Studios
Hyrule Warriors,3DS,2016,Action,Nintendo
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios
FIFA 17,PS3,2016,Sports,Electronic Arts
Life is Strange,PS4,2016,Adventure,Square Enix
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft
Resident Evil Zero,PS4,2016,Action,Capcom
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games
Star Fox: Zero,WiiU,2016,Shooter,Nintendo
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment
Persona 5,PS4,2016,Role-Playing,Atlus
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment
TrackMania Turbo,PS4,2016,Action,Ubisoft
DiRT Rally,PS4,2016,Racing,Codemasters
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts
LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment
